gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	Cytoplasm	0.3748599907977855	0.37808994613975233	0.3744246537270105	3.6607193072430304
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1					4.591655779049255e-07			3.6607197664086084
b0027	25207	25701	1	gene		25207	0	P00804				4.591655779049255e-07			3.6607202255741864
b0028	25826	26275	1	gene		25826	0	P0AEM0				4.591655779049255e-07			3.6607206847397644
b0029	26277	27227	1	gene		26277	0	P62623				4.591655779049255e-07			3.6607211439053424
b0030	27293	28207	1	gene		27293	0	P22564				4.591655779049255e-07			3.6607216030709204
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0					4.591655779049255e-07			3.6607220622364984
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	Cytoplasm	0.1469743266959885	0.14885869228505613	0.14479858335969661	3.807696388932487
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0					4.591655779049255e-07			3.807696848098065
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	Cytoplasm	0.634904795642827	0.6459442426032354	0.6361261226631417	4.442601643740892
PM00319	30775	30816	1	promoter	[b0033]	30799	0					4.591655779049255e-07			4.44260210290647
b0033	30817	34038	1	gene		30817	0	P00968				4.591655779049255e-07			4.4426025620720475
PM338	34218	34299	1	promoter	[b0034]	34218	0					4.591655779049255e-07			4.442603021237625
b0034	34300	34695	1	gene		34300	0	P0AE58				4.591655779049255e-07			4.442603480403203
b0035	34781	35371	-1	gene		34781	0	P39206				4.591655779049255e-07			4.44260393956878
b0036	35377	36162	-1	gene		35377	0	P31551				4.591655779049255e-07			4.442604398734358
b0037	36271	37824	-1	gene		36271	0	P31552				4.591655779049255e-07			4.442604857899935
b0038	37898	39115	-1	gene		37898	0	P31572				4.591655779049255e-07			4.442605317065513
b0039	39244	40386	-1	gene		39244	0	P60584				4.591655779049255e-07			4.44260577623109
b0040	40417	41931	-1	gene		40417	0	P31553				4.591655779049255e-07			4.442606235396668
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0					4.591655779049255e-07			4.4426066945622456
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0					4.591655779049255e-07			4.442607153727823
b0041	42403	43173	1	gene		42403	0	P60566				4.591655779049255e-07			4.442607612893401
b0042	43188	44129	1	gene		43188	0	P31574				4.591655779049255e-07			4.442608072058978
b0043	44180	45466	1	gene		44180	0	P68644				4.591655779049255e-07			4.442608531224556
b0044	45463	45750	1	gene		45466	0	P68646				4.591655779049255e-07			4.442608990390133
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0					4.591655779049255e-07			4.442609449555711
b0045	45807	47138	1	gene		45807	0	P31679				4.591655779049255e-07			4.4426099087212885
b0046	47246	47776	1	gene		47246	0	P0A754				4.591655779049255e-07			4.442610367886866
b0047	47769	49631	1	gene		47776	0	P03819	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	Cell inner membrane	0.00039448745401556457	0.00019359249523034862	0.00025131561928561	4.443004855340882
PM00320	49799	49822	1	promoter	[b0048]	49799	0					4.591655779049255e-07			4.443005314506459
b0048	49823	50302	1	gene		49823	0	P0ABQ4				4.591655779049255e-07			4.443005773672037
b0049	50380	51222	-1	gene		50380	0	P05637				4.591655779049255e-07			4.4430062328376145
b0050	51229	51606	-1	gene		51229	0	P62672				4.591655779049255e-07			4.443006692003192
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0					4.591655779049255e-07			4.44300715116877
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	Cytoplasm	0.012745992434463938	0.012740448035294867	0.01279954133811034	4.455753143603234
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	Cytoplasm	0.011438975841378608	0.01048562644874011	0.010716102883703742	4.467192119444612
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1					4.591655779049255e-07			4.46719257861019
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	Periplasm	0.12189058892395588	0.11861074435095335	0.12195630037490766	4.589083167534145
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	Cell outer membrane	0.0677138401868904	0.0778787134848524	0.07817803851352464	4.656797007721035
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0					4.591655779049255e-07			4.656797466886613
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1					4.591655779049255e-07			4.656797926052191
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	Cell inner membrane	5.13264721788695e-05	5.6384305656364765e-06	0.0003013042076583072	4.65684925252437
b4659	58474	59279	1	gene		58474	0					4.591655779049255e-07			4.656849711689947
b0058	59687	60346	-1	gene		59687	0	P0AA37				4.591655779049255e-07			4.656850170855525
b0059	60358	63264	-1	gene		60358	0	P60240				4.591655779049255e-07			4.656850630021102
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0					4.591655779049255e-07			4.65685108918668
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0					4.591655779049255e-07			4.6568515483522575
b0060	63429	65780	-1	gene		63588	0	P21189				4.591655779049255e-07			4.656852007517835
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0					4.591655779049255e-07			4.656852466683413
b0061	65855	66550	-1	gene		65855	0	P08203				4.591655779049255e-07			4.65685292584899
b0062	66835	68337	-1	gene		66835	0	P08202				4.591655779049255e-07			4.656853385014568
b0063	68348	70048	-1	gene		68348	0	P08204				4.591655779049255e-07			4.656853844180145
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0					4.591655779049255e-07			4.656854303345723
PM00004	70241	70386	1	promoter	[b0064]	70241	0					4.591655779049255e-07			4.6568547625113
b0064	70387	71265	1	gene		70387	0	P0A9E0				4.591655779049255e-07			4.656855221676878
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0					4.591655779049255e-07			4.6568556808424555
b0065	71351	72115	1	gene		71351	0	P30149				4.591655779049255e-07			4.656856140008033
b0066	72229	72927	-1	gene		72229	0	P31548				4.591655779049255e-07			4.656856599173611
b0067	72911	74521	-1	gene		72927	0	P31549				4.591655779049255e-07			4.656857058339188
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	Periplasm	0.0021441311645017305	0.0011084325759222816	0.000897934048369433	4.65900118950369
sroA	75516	75608	-1	gene		75516	0					4.591655779049255e-07			4.659001648669268
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1					4.591655779049255e-07			4.659002107834845
b0069	75644	77299	-1	gene		75644	0	P33595				4.591655779049255e-07			4.659002567000423
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0					4.591655779049255e-07			4.659003026166
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1					4.591655779049255e-07			4.659003485331578
b4577	77367	77593	1	gene		77367	0					4.591655779049255e-07			4.659003944497155
b4662	77388	77519	1	gene		77593	1	C1P5Z7				4.591655779049255e-07			4.659004403662733
b0070	77621	78799	1	gene		77621	0	P31675				4.591655779049255e-07			4.6590048628283105
b0071	78848	79453	-1	gene		78848	0	P30126				4.591655779049255e-07			4.659005321993888
b0072	79464	80864	-1	gene		79464	0	P0A6A6				4.591655779049255e-07			4.659005781159466
b0073	80867	81958	-1	gene		80867	0	P30125	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	Cytoplasm	0.28828146929594556	0.30073493377493266	0.30748877680586595	4.947287250455411
b0074	81958	83529	-1	gene		81958	0	P09151				4.591655779049255e-07			4.947287709620989
b0075	83622	83708	-1	gene		83622	0	P0AD79				4.591655779049255e-07			4.947288168786566
PM0-46180	83709	84024	-1	promoter	[b0071, b0072, b0073, b0074, b0075]	83709	0					4.591655779049255e-07			4.947288627952144
PM0-46177	84154	84367	1	promoter	[b0076]	84154	0					4.591655779049255e-07			4.9472890871177215
b0076	84368	85312	1	gene		84368	0	P10151				4.591655779049255e-07			4.947289546283299
PM00321	85420	85629	1	promoter	[b0078, b0077]	85420	0					4.591655779049255e-07			4.947290005448877
b0077	85630	87354	1	gene		85630	0	P00893				4.591655779049255e-07			4.947290464614454
b0078	87357	87848	1	gene		87357	0	P00894				4.591655779049255e-07			4.947290923780032
PM0-44353	87947	88027	1	promoter	[b0080]	87947	0					4.591655779049255e-07			4.947291382945609
b0080	88028	89032	1	gene		88028	0	P0ACP1				4.591655779049255e-07			4.947291842111187
PM0-1101	89596	89633	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082, b0081]	89596	0					4.591655779049255e-07			4.9472923012767644
b0081	89634	90092	1	gene		89634	0	P22186	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	Cytoplasm	0.004150994641816253	0.00425735913252852	0.00480137239634365	4.951443295918581
PM0-9672	90010	90093	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082]	90092	0					4.591655779049255e-07			4.951443755084158
b0082	90094	91035	1	gene		90094	0	P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	Cytoplasm	0.01981824345237026	0.02160766494423882	0.022289190510908035	4.971261998536528
PM0-9676	90688	91031	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083]	91035	1					4.591655779049255e-07			4.971262457702106
b0083	91032	91397	1	gene		91035	0	P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	Cell inner membrane	0.001221405416689421	0.001326322846615134	0.001392993361015461	4.9724838631187955
b0084	91413	93179	1	gene		91413	0	P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	Cell inner membrane	0.0012170394141930029	0.0015717161422442295	0.0009849748632107147	4.973700902532989
b0085	93166	94653	1	gene		93179	0	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	Cytoplasm	0.04530184714511274	0.047710072207370606	0.04474387749340148	5.019002749678101
b0086	94650	96008	1	gene		94653	0	P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	Cytoplasm	0.04240013621220905	0.04175439537553944	0.039775852566415644	5.061402885890311
b0087	96002	97084	1	gene		96008	0	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	Cell inner membrane	0.000991937197258839	0.0013487914298944553	0.001434338154334227	5.062394823087569
b0088	97087	98403	1	gene		97087	0	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	Cytoplasm	0.005725753834725454	0.007022631984181672	0.006330942533944526	5.068120576922294
b0089	98403	99647	1	gene		98403	0	P0ABG4				4.591655779049255e-07			5.068121036087872
b0090	99644	100711	1	gene		99647	0	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	Cell inner membrane	0.0035601702339044606	0.006075245228766546	0.005772529248176631	5.071681206321776
b0091	100765	102240	1	gene		100765	0	P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	Cytoplasm	0.040320015133879894	0.03768763950109412	0.03867521430567641	5.112001221455657
b0092	102233	103153	1	gene		102240	0	P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	Cytoplasm	0.02729814136397941	0.02784206112451846	0.02799766727563933	5.139299362819636
PM00607	102742	103154	1	promoter	[b0093]	103153	0					4.591655779049255e-07			5.1392998219852135
PM00296	102867	103154	1	promoter	[b0093, b0094, b0095]	103154	0					4.591655779049255e-07			5.139300281150791
b0093	103155	103985	1	gene		103155	0	P06136				4.591655779049255e-07			5.139300740316369
PM0-1582	103561	103981	1	promoter	[b0095, b0094]	103985	1					4.591655779049255e-07			5.139301199481946
b0094	103982	105244	1	gene		103985	0	P0ABH0	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	Cell inner membrane	0.0429739515738747	0.04782865368751306	0.04288561988798158	5.182275151055821
PM00610	104636	105304	1	promoter	[b0095]	105244	0					4.591655779049255e-07			5.1822756102213985
b0095	105305	106456	1	gene		105305	0	P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	Cytoplasm	0.3730339518604517	0.40597994675471916	0.408432380167684	5.55530956208185
PM0-9872	106508	106556	1	promoter	[b0096]	106508	0					4.591655779049255e-07			5.555310021247427
b0096	106557	107474	1	gene		106557	0	P0A725				4.591655779049255e-07			5.555310480413005
b0097	107705	108217	1	gene		107705	0	P62395				4.591655779049255e-07			5.5553109395785825
b0098	108279	110984	1	gene		108279	0	P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	Cell inner membrane	0.1195635385408645	0.1251557400720593	0.11855883530627896	5.674874478119447
b0099	111044	111433	1	gene		111044	0	P08337				4.591655779049255e-07			5.674874937285025
b0101	111649	111846	-1	gene		111649	0	P0A8H8				4.591655779049255e-07			5.674875396450602
b0102	111856	112599	-1	gene		111856	0	P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	Cytoplasm	0.013804066675754432	0.013472811735049236	0.014783547964178977	5.688679463126356
b0103	112599	113219	-1	gene		112599	0	P0A6I9	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	Cytoplasm	0.0026781355387897102	0.002942222719867208	0.002354177680178176	5.691357598665146
b0104	113444	114487	1	gene		113444	0	P60560				4.591655779049255e-07			5.6913580578307235
b0106	114522	115724	-1	gene		114522	0	P36646				4.591655779049255e-07			5.691358516996301
b0107	115714	117099	-1	gene		115724	0	P36645				4.591655779049255e-07			5.691358976161879
b0108	117109	117549	-1	gene		117109	0	P36647				4.591655779049255e-07			5.691359435327456
PM0-10364	117550	117705	-1	promoter	[b0108, b0107, b0106]	117550	0					4.591655779049255e-07			5.691359894493034
b0109	117752	118645	-1	gene		117752	0	P30011				4.591655779049255e-07			5.691360353658611
PM0-36221	118646	118663	-1	promoter	[b0109]	118646	0					4.591655779049255e-07			5.691360812824189
PM0-36222	118703	118732	1	promoter	[b0110, b0111]	118703	0					4.591655779049255e-07			5.691361271989766
b0110	118733	119284	1	gene		118733	0	P13016				4.591655779049255e-07			5.691361731155344
b0111	119281	120135	1	gene		119284	0	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	Cell inner membrane	0.00019712866576622337	0.0002604176482071721	0.0002191460015961675	5.69155885982111
b0112	120178	121551	-1	gene		120178	0	P15993	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	Cell inner membrane	0.017501967197345848	0.01647115111936228	0.015664404681755	5.7090608270184555
PM00014	121552	121671	-1	promoter	[b0112]	121552	0					4.591655779049255e-07			5.709061286184033
PM00324	122034	122091	1	promoter	[b0113, b0114, b0115, b0116]	122034	0					4.591655779049255e-07			5.709061745349611
b0113	122092	122856	1	gene		122092	0	P0ACL9				4.591655779049255e-07			5.709062204515188
PM00325	122969	123016	1	promoter	[b0115, b0114]	122969	0					4.591655779049255e-07			5.709062663680766
b0114	123017	125680	1	gene		123017	0	P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	Cytoplasm	0.9296258336419189	0.9615553862712531	0.9726102853377635	6.6386884973226845
b0115	125695	127587	1	gene		125695	0					4.591655779049255e-07			6.638688956488262
PM00326	127717	127911	1	promoter	[b0116]	127717	0					4.591655779049255e-07			6.63868941565384
b0116	127912	129336	1	gene		127912	0	P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	Cytoplasm	1.040868861267383	1.1394193911617692	1.0591210855455815	7.679558276921223
b0117	129407	131260	-1	gene		129407	0	P36682				4.591655779049255e-07			7.6795587360868005
PM263	131519	131614	1	promoter	[b0118]	131519	0					4.591655779049255e-07			7.679559195252378
b0118	131615	134212	1	gene		131615	0	P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	Cytoplasm	1.1923550422160252	1.1700069995610978	1.1782833956965348	8.871914237468403
PM0-9961	134339	134387	1	promoter	[b0119]	134339	0					4.591655779049255e-07			8.871914696633981
b0119	134388	134750	1	gene		134388	0	P0A8E5				4.591655779049255e-07			8.87191515579956
b0120	134788	135582	-1	gene		134788	0	P0A7F6				4.591655779049255e-07			8.871915614965138
b0121	135598	136464	-1	gene		135598	0	P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	Cytoplasm	0.05513934295386843	0.055735456730867765	0.06013923141561941	8.927054957919006
b0122	136570	136917	-1	gene		136570	0	P0AA95				4.591655779049255e-07			8.927055417084585
PM0-7801	136918	136940	-1	promoter	[b0122, b0120, b0121]	136918	0					4.591655779049255e-07			8.927055876250163
PM0-3304	137045	137082	1	promoter	[b0123]	137045	0					4.591655779049255e-07			8.927056335415742
b0123	137083	138633	1	gene		137083	0	P36649	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	Periplasm	0.09474762878183214	0.09951408876039691	0.09700188690852123	9.021803964197574
b0124	138835	141225	-1	gene		138835	0	P15877	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	Cell inner membrane	0.006131017039374165	0.007060310133177196	0.006232252746798197	9.027934981236948
PM0-2223	141226	141279	-1	promoter	[b0124]	141226	0					4.591655779049255e-07			9.027935440402526
PM0-2221	141360	141430	1	promoter	[b0125]	141360	0					4.591655779049255e-07			9.027935899568105
b0125	141431	141967	1	gene		141431	0	P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	Cytoplasm	0.04284094205330685	0.04275057669651228	0.04498053842474246	9.070776841621411
b0126	142008	142670	-1	gene		142008	0	P61517	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	Cytoplasm	0.1450929391054214	0.15721970227561055	0.15157100413570998	9.215869780726832
PM0-9710	142671	142703	-1	promoter	[b0126]	142671	0					4.591655779049255e-07			9.21587023989241
b0127	142779	143705	1	gene		142779	0	P36879				4.591655779049255e-07			9.215870699057989
b0128	143702	144472	1	gene		143705	0	P0AFN6				4.591655779049255e-07			9.215871158223568
b0129	144577	145017	1	gene		144577	0	P36881				4.591655779049255e-07			9.215871617389146
b0130	145081	146310	1	gene		145081	0	P31666				4.591655779049255e-07			9.215872076554724
b0131	146314	146694	-1	gene		146314	0					4.591655779049255e-07			9.215872535720303
PM0-46355	146695	146754	-1	promoter	[b0131]	146695	0					4.591655779049255e-07			9.215872994885881
b0132	146968	147870	1	gene		146968	0	P31665				4.591655779049255e-07			9.21587345405146
b0133	147944	148795	-1	gene		147944	0	P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	Cytoplasm	0.06177869116647674	0.06924794102659904	0.0673809803014121	9.277652145217937
b0134	148807	149601	-1	gene		148807	0	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	Cytoplasm	0.12078393227212128	0.11525012722613233	0.1515330712492182	9.398436077490059
PM0-10209	149602	149630	-1	promoter	[b0133, b0134]	149602	0					4.591655779049255e-07			9.398436536655637
b0135	149715	150953	-1	gene		149715	0	P31058				4.591655779049255e-07			9.398436995821216
b0136	151003	151599	-1	gene		151003	0	P37016				4.591655779049255e-07			9.398437454986794
b0137	151626	152231	-1	gene		151626	0	P37017				4.591655779049255e-07			9.398437914152373
b0138	152243	152812	-1	gene		152243	0	P37018				4.591655779049255e-07			9.398438373317951
b0139	152829	155426	-1	gene		152829	0					4.591655779049255e-07			9.39843883248353
b0140	155461	156201	-1	gene		155461	0	P33128				4.591655779049255e-07			9.398439291649108
PM00553	156202	156235	-1	promoter	[b0139, b0140]	156202	0					4.591655779049255e-07			9.398439750814687
b0141	156299	156883	-1	gene		156299	0	P37050				4.591655779049255e-07			9.398440209980265
b0142	157253	157732	-1	gene		157253	0	P26281				4.591655779049255e-07			9.398440669145844
b0143	157729	159126	-1	gene		157732	0	P0ABF1	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	Cytoplasm	0.004043736468282783	0.003872082392826104	0.002582000777130756	9.402484405614127
PM0-36157	159127	159391	-1	promoter	[b0142, b0143]	159127	0					4.591655779049255e-07			9.402484864779705
b0144	159186	160112	-1	gene		159391	0	P27305				4.591655779049255e-07			9.402485323945283
b0145	160149	160604	-1	gene		160149	0	P0ABS1	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	dksA	Cytoplasm	0.17084865976232383	0.15130902770585	0.16980227252772478	9.573333983707608
PM0-46206	160605	160751	-1	promoter	[b0144, b0145]	160605	0					4.591655779049255e-07			9.573334442873186
b0146	160782	161486	-1	gene		160782	0	P0A823				4.591655779049255e-07			9.573334902038765
PM0-3841	161487	161515	-1	promoter	[b0145, b0146]	161487	0					4.591655779049255e-07			9.573335361204343
b0147	161501	162031	-1	gene		161515	0	P37025				4.591655779049255e-07			9.573335820369921
b0148	162105	164534	1	gene		162105	0	P37024				4.591655779049255e-07			9.5733362795355
PM0-9962	164721	164729	1	promoter	[b0149]	164721	0					4.591655779049255e-07			9.573336738701078
b0149	164730	167264	1	gene		164730	0	P02919	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	Cell inner membrane	0.011242050881810363	0.013407818728800697	0.013672096040280989	9.584578789582888
PM00027	167442	167483	1	promoter	[b0150, b0151, b0152, b0153]	167442	0					4.591655779049255e-07			9.584579248748467
b0150	167484	169727	1	gene		167484	0	P06971	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	Cell outer membrane	0.11903376468952706	0.13154513479459967	0.11660026558780641	9.703613013437995
b0151	169778	170575	1	gene		169778	0	P07821				4.591655779049255e-07			9.703613472603573
